COLUMN1 COLUMN2 EMPLOYEEID DATE TIME COLUMN6
Empoyee Number: 0111219 11/10/2018 2:00:00 PM
Empoyee Number: 010581 11/10/2018 1:54:47 PM
Empoyee Number: 0111262 11/10/2018 2:00:00 PM
Empoyee Number: 0111259 11/10/2018 2:00:00 PM
Empoyee Number: 001030 11/10/2018 2:00:00 PM
Empoyee Number: 0111302 11/10/2018 2:00:00 PM
Empoyee Number: 0111265 11/10/2018 2:00:00 PM
Empoyee Number: 010697 11/10/2018 2:00:00 PM
Empoyee Number: 010896 11/10/2018 2:00:00 PM
Empoyee Number: 010216 11/10/2018 2:00:00 PM
Empoyee Number: 000534 11/10/2018 2:00:00 PM
Empoyee Number: 010216 11/10/2018 2:00:00 PM
Empoyee Number: 000433 11/10/2018 2:00:00 PM
Empoyee Number: 0111246 11/10/2018 2:00:00 PM
Empoyee Number: 010719 11/10/2018 2:00:00 PM
Empoyee Number: 010678 11/10/2018 2:00:00 PM
Empoyee Number: 010920 11/10/2018 2:00:00 PM
Empoyee Number: 011039 11/10/2018 2:00:00 PM
Empoyee Number: 010404 11/10/2018 1:52:54 PM
Empoyee Number: 010610 11/10/2018 2:00:00 PM
Empoyee Number: 011080 11/10/2018 2:00:00 PM
Empoyee Number: 000930 11/10/2018 2:00:00 PM
Empoyee Number: 010601 11/10/2018 2:00:00 PM
Empoyee Number: 010103 11/10/2018 2:00:00 PM
Empoyee Number: 010876 11/10/2018 2:00:00 PM
Empoyee Number: 000790 11/10/2018 2:00:00 PM
Empoyee Number: 000922 11/10/2018 2:00:00 PM
Empoyee Number: 000638 11/10/2018 2:00:00 PM
Empoyee Number: 010138 11/10/2018 2:00:00 PM
Empoyee Number: 010611 11/10/2018 2:00:00 PM
Empoyee Number: 010144 11/10/2018 2:00:00 PM
Empoyee Number: 010785 11/10/2018 2:00:00 PM
